verb,verbs,nouns
covet,"['covet', 'coveted']",['manager']
cover,"['cover', 'covered']","['mistakes', 'application', 'letter', 'background', 'song', 'distance', 'cells', 'area', 'work', 'fleet', 'liabilities', 'charges', 'costs', 'balances', 'scar', 'difference', 'share', 'position', 'policies', 'period', 'days', 'pond', 'half', 'gap', 'links', 'issue', 'knowledge', 'areas', 'walls', 'topics', 'contraception', 'cost', 'opt', 'testing', 'workers', 'services', 'plans', 'control', 'contraceptives', 'lists', 'information', 'payments', 'advice', 'backs', 'breadth', 'everything', 'miles', 'feet', 'risks', 'exhibits', 'gamut', 'year', 'fund', 'implant', 'error', 'losses', 'necessities', 'part', 'easterlies', 'damage', 'bikie', 'b', 'nose', 'concerns', 'atas', 'mortgages', 'event', 'row', 'baseball', 'burns', 'shortfall', 'race', 'algorithms', 'fees', 'basics', 'expenses', 'credits', 'households', 'earners', 'treatments', 'issues', 'hair', 'companies', '%', 'market', 'eyes', 'pre', 'picthes', 'structure', 'shirt', 'site', 'globe', 'tomb', 'floor', 'verandahs', 'temple', 'span', 'clause', 'questions', 'm', 'ground', 'session', 'topic', 'km', 'shells', 'slits', 'filaments', 'rock', 'snow', 'glaciers', 'top', 'details', 'child', 'fly', 'time', 'job', 'city', 'toy', 'deficits', 'bread', 'hygiene', 'firm', 'jungle', 'kilometers', 'pulp', 'genitals', 'interior', 'salmon', 'team', 'piece', 'country', 'wil', 'chocolate', 'ropes', 'windscreen', 'thighs', 'body', 'kind']"
despise,"['despise', 'despised']","['film', 'word', 'body', 'judgments', 'sabbaths', 'citizens']"
exterminate,"['exterminate', 'exterminated']","['brutes', 'horror', 'shot']"
impact,"['impact', 'impacting']","['shares', 'hiccups', 'revenues', 'stock', 'relationship', 'life', 'expats', 'implementation', 'future', 'church', 'neighborhood', 'investment', 'years', 'security', 'premiums', 'lives']"
factor,"['factor', 'factored']","['hits', 'needs']"
resent,"['resent', 'resented']","['fortune', 'person', 'wealth', 'cost', 'inclusion', 'clause']"
proclaim,"['proclaim', 'proclaimed']","['message', 'multiculturalism', 'retinue', 'teacher', 'prince', 'states', 'secession', 'self', 'constitution', 'republic', 'government', 'independence', 'protectorate']"
kill,"['kill', 'kills']","['prisoner', 'anyone', 'kafir', 'father', 'creeps', 'bacteria', 'sledgehammer', 'fly', 'others', 'writers', 'muslims', 'target', 'person', 'devil', 'friends', 'snakes', 'words', 'nails', 'one', 'cricket', 'abilities', 'side', 'unfairness', 'spark', 'animals', 'living', 'shalt', 'animal', 'hunters', 'half', 'people', 'year', 'procrastination', 'members', 'soldiers', 'population', 'troops', 'children', 'someone', 'wife', '%', 'gentiles', 'bill', 'civilians', 'investiment', 'asthma', 'rats', 'rodents', 'meat', 'nobody', 'love', 'time', 'motor', 'cancer', 'change', 'man', 'cumbucket', 'government', 'monsters', 'officer', 'politics', 'seeds', 'somebody', 'subject', 'everything', 'parents', 'innocents', 'cfs', 'vodka', 'power', 'set', 'bugs', 'way', 'companions', 'floods', 'bandit', 'fire', 'thousands', 'member', 'action', 'bystanders', 'malaria', 'pig', 'pursuit', 'rider', 'nothing', 'moment']"
obscure,"['obscure', 'obscured']","['tales', 'reality', 'fog', 'areas', 'half', 'direction', 'identity']"
sew,"['sew', 'sewing']","['button', 'boy', 'ideas']"
set,"['set', 'sets']","['gem', 'square', 'delay', 'decade', 'man', 'schedule', 'sights', 'value', 'sun', 'precedent', 'church', 'hostel', 'kings', 'vehicle', 'flickr', 'mk1', 'person', 'size', 'process', 'foundation', 'pin', 'fact', 'campaign', 'apostasy', 'bags', 'records', 'levels', 'requirements', 'book', 'stage', 'foot', 'voice', 'tone', 'haunting', 'decades', 'ship', 'stime', 'clock', 'function', 'time', 'structure', 'localtime']"
overwhelm,"['overwhelm', 'overwhelmed']","['weight', 'anger', 'employees', 'classes', 'bickering', 'discussion', 'citadel', 'employee']"
touch,"['touch', 'touching']","['senses', 'people', 'men', 'brow', 'ground', 'fists', 'reward', 'concerns', 'action', 'subject', 'something', 'knife', 'mould', 'base', 'tonight', 'hair', 'nothing', 'company', 'matters', 'freedom', 'cheeks', 'man', 'bandage', 'traps', 'walls', 'matter', 'roof', 'head', 'feet', 'future', 'objects', 'water', 'area', 'food', 'horizon', 'body', 'floor']"
see,"['see', 'sees', 'seed']","['music', 'tyranny', 'one', 'cut', 'twins', 'wrestling', 'opportunity', 'needs', 'face', 'building', 'hears', 'category', 'abuses', 'superstar', 'exercise', 'work', 'series', 'developer', 'concern', 'day', 'days', 'role', 'nanotechnology', 'none', 'doer', 'man', 'things', 'light', 'source', 'pay', 'lesson', 'market', 'declines', 'mechanism', 'possibility', 'presidency', 'thinker', 'philosophy', 'group', 'measures', 'character', 'manger', 'anyone', 'state', 'expression', 'problems', 'persecutor', 'part', 'women', 'bow', 'culture', 'game', 'act', 'change', 'water', 'sequence', 'nera', 'vision', 'attack', 'analogy', 'clash', 'job', 'people', 'organizations', 'expert', 'comedian', 'doctor', 'point', 'goal', 'clouds', 'legislation', 'reform']"
backfire,"['backfire', 'backfires', 'backfired']","['plan', 'options', 'decision', 'tasks', 'announcement']"
compliment,"['compliment', 'compliments']","['personality', 'hues', 'partners', 'd', 'theme']"
approve,"['approve', 'approves', 'approved']","['%', 'independents', 'persecution', 'majority', 'device', 'grants', 'compliant', 'work', 'playoff', 'bill', 'parliament', 'package', 'board', 'courts', 'record', 'act', 'licence', 'zondle', 'document']"
load,"['load', 'loading']","['solutions', 'something', 'address', 'message', 'exhibition', 'concept', 'drink', 'state', 'nippers', 'crates', 'video', 'images']"
loan,"['loan', 'loaned']","['gear', 'money']"
champion,"['champion', 'championing']","['cause', 'causes']"
fire,"['fire', 'fires', 'firing']","['wraps', 'laser', 'company', 'people', 'employees', 'congress', 'senate', 'implementation', 'event', 'attacks', 'shots', 'strimmer', 'anything', 'soul', 'guns', 'salute', 'emails', 'neurons', 'army', 'rockets', 'burner', 'stride', 'piano', 'note']"
infect,"['infect', 'infected']","['patient', 'routers', 'baby']"
fund,"['fund', 'funds']","['course', 'wars', 'income', 'list', 'projects', 'lifestyle', 'importation', 'time', 'years', 'application', 'retirement', 'dinner', 'government', 'spending', 'deficit', 'liabilities', 'project', 'raise', 'coverage', 'healthcare', 'insurance', 'film', 'everything', 'governments', 'business', 'businesses', 'initiatives']"
budget,"['budget', 'budgeting']","['time', 'lot', 'expense']"
admire,"['admire', 'admires', 'admiring']","['person', 'stone', 'letters', 'contribution', 'time', 'beauty', 'logic', 'artist', 'courage', 'clouds', 'ranges', 'visitor', 'acumen', 'people', 'clothes', 'jewellery', 'wonders', 'kids', 'view', 'styles']"
seed,"['seed', 'seeding']","['clouds', 'legislation', 'reform', 'desert', 'self']"
vanish,"['vanish', 'vanished']","['sensations', 'object', 'items', 'impossibilities', 'darkness', 'majority', 'morals', 'rest', 'lions', 'evening', 'virtue', 'guarantees']"
chase,"['chase', 'chases', 'chased']","['one', 'phantom', 'interviewees', 'troll', 'fish', 'hopes', 'momentum', 'runs', 'side', 'man', 'woman', 'fleet', 'buffoon']"
churn,"['churn', 'churns']","['entrepreneurs', 'movie', 'earnings', 'uranium']"
shorten,"['shorten', 'shortened']","['prayer', 'rope', 'pause', 'lifespan', 'post', 'names', 'reports', 'muscles', 'period', 'interval', 'wavelength', 'weather', 'race']"
stack,"['stack', 'stacked']","['store', 'code', 'top', 'country']"
expend,"['expend', 'expended']","['time', 'loan']"
comprise,"['comprise', 'comprises', 'comprised']","['thoughts', 'requisites', 'constituents', 'foundation', '%', 'partners', 'reports', 'observations', 'tour', 'odis', 'proportions', 'house', 'sunna', 'part', 'series', 'answers', 'verses', 'team', 'work', 'men', 'majority', 'life']"
couple,"['couple', 'couples', 'coupled']","['guns', 'commodity', 'today']"
abound,"['abound', 'abounding']","['modem', 'corpses', 'differences', 'sycamore']"
continue,"['continue', 'continues', 'continuing']","['experience', 'penetration', 'engagement', 'paragraph', 'head', 'funding', 'kindness', 'struggle', 'winner', 'craving', 'growth', 'post', 'series', 'partner', 'symbol', 'regime', 'course', 'market', 'rest', 'process', 'godfather', 'collapse', 'procession', 'sewer', 'book', 'world', 'oil', 'occupation', 'situation', 'size', 'reader', 'web', 'supply', 'price', 'unrest', 'group', 'service', 'prosecution', 'monologue', 'dominance', 'recession', 'pace', 'abs', 'rudeness', 'alliance', 'austerity', 'theme', 'days', 'use', 'remark', 'paper', 'journey', 'crime', 'newspaper', 'list', 'damage', 'killing', 'today', 'alignment', 'west', 'caves', 'quest', 'season', 'population', 'collection', 'company', 'brand', 'term', 'government', 'third', 'rate', 'tour', 'march']"
summarise,"['summarise', 'summarised']","['content', 'stories', 'ekadasi', 'briefly', 'verses']"
spring,"['spring', 'springs']","['d', 'suprise', 'triangle', 'viruses', 'examples', 'bed']"
bounce,"['bounce', 'bounces', 'bounced']","['children', 'ripples', 'way', 'ball', 'object', 'waves', 'counter', 'wall', 'bumper', 'pulse', 'returns', 'panel', 'ray', 'basket', 'times']"
pale,"['pale', 'paled']","['everything', 'colour', 'achievements']"
benefit,"['benefit', 'benefits']","['none', 'kith', 'kin', 'readers', 'veditabbo', 'partners', 'races', 'communities', 'player', 'files', 'report', 'managers', 'development', 'countries', 'everyone', 'progress', 'someone', 'one', 'clients', 'athletes', 'organizations', 'leaders', 'world', 'technologies', '-ugandan', 'relations', 'sector', 'conversation', 'students', 'rates', 'application', 'producers', 'way', 'championships', 'society', 'idea']"
behave,"['behave', 'behaves', 'behaving']","['inspite', 'variables', 'people', 'animals', 'wave', 'fields', 'reflections', 'column', 'planet', 'shine', 'weather', 'producers']"
be,"['be', 'being', 'bed']","['mutabaruka', 'impermanent', 'cricketer', 'things', 'survivor', 'part', 'eaters', 'insects', 'people', 'geek', 'area', 'school', 'woman']"
repair,"['repair', 'repairing']","['cellos', 'instruments', 'ship', 'link', 'roads', 'roof', 'work', 'instrument', 'relationship', 'body', 'house', 'anything', 'thousands', 'helicopters']"
recreate,"['recreate', 'recreating']","['circumstances', 'character', 'form', 'mayhem']"
legalise,"['legalise', 'legalising']","['marriage', 'stuff']"
submit,"['submit', 'submits']","['affairs', 'photograph', 'items', 'articles', 'photographs', 'works', 'links', 'request', 'questions', 'tender', 'claim', '9dd', 'element', 'report', 'solution', 'answer', 'writing', 'student', 'stories', 'version', 'years', 'apology', 'parts', 'rebuttals', 'proposal', 'people', 'form', 'reply', 'members', 'documentation', 'content', 'bill', 'disagreements', 'complaint', 'evidence', 'site', 'pieces', 'vote', 'information', 'data', 'proposals', 'certificate', 'whoever', 'names']"
occupy,"['occupy', 'occupying']","['country', 'palestine', 'basins', 'time', 'position', 'people', 'basin', 'spaces', 'geezers', 'intellect', 'countries', 'zone', 'block']"
suit,"['suit', 'suits']","['desires', 'budget', 'settings', 'place', 'market', 'style', 'needs', 'performances', 'buds', 'personality', 'logic', 'colors', 'theme', 'budgets', 'breakfasts', 'tastes', 'requirements', 'type', 'situation', 'application', 'dreams', 'title', 'editorial', 'song', 'lyrics', 'taste', 'lifestyle']"
mitigate,"['mitigate', 'mitigating']","['expense', 'risks', 'losses', 'events', 'damage', 'factors']"
link,"['link', 'links']","['existence', 'boards', 'rate', 'words', 'music', 'homepage', 'coasts', 'kutafication', 'anyone', 'clip', 'mutabaruka', 'domains', 'site', 'building']"
line,"['line', 'lining']","['crowds', 'banks', 'boats', 'independents', 'president', 'courtyard', 'investors', 'houses', 'losers', 'beachfront', 'pockets', 'country', 'side', 'auction', 'people', 'liar', 'zip', 'everyone']"
slander,"['slander', 'slandering']","['others', 'pisu', 'person']"
mature,"['mature', 'maturing']","['years', 'platform']"
influence,"['influence', 'influences', 'influenced']","['policy', 'result', 'writers', 'horse', 'motivations', 'beliefs', 'person', 'preferences', 'amount', 'growth', 'outcome', 'use', 'philosophy', 'direction', 'standing', 'resources', 'weddings', 'trade', 'climates', 'anticyclones', 'behaviour', 'astronomy', 'music', 'achievements', 'life', 'opinion', 'everyone', 'things', 'plots', 'segment', 'companions', 'view', 'disciples', 'people', 'programming', 'feature', 'application', 'function', 'decision', 'value', 'experiences', 'views', 'book', 'bands', 'album', 'review', 'thinking', 'celebrations', 'size', 'ability', 'interface']"
haunt,"['haunt', 'haunts']","['negotiations', 'year', 'streets', 'party', 'death', 'child', 'filmmakers']"
scrape,"['scrape', 'scraping']","['finances', 'bottom', 'draw']"
deviate,"['deviate', 'deviated']","['person', 'marks', 'others']"
oblige,"['oblige', 'obliged']","['groundsmen', 'captain', 'candidates', 'government', 'keepers', 'press']"
land,"['land', 'lands']","['rider', '3rd', 'm', 'month', 'cable', 'face', 'time', 'intolerance', 'punch', 'opportunity', 'user', 'waste', 'paraveni', 'ball', 'indipper', 'believers']"
code,"['code', 'coding']","['anybody', 'worm', 'letter', 'currency', 'slash', 'code', 'messages', 'testing', 'complexity', 'apps']"
incorporate,"['incorporate', 'incorporates', 'incorporating']","['ideas', 'base', 'session', 'post', 'creativity', 'authors', 'phrase', 'grids', 'energies', 'works', 'aspects', 'disability', 'word', 'comments', 'states', 'technology', 'components', 'outcome', 'equity', 'features', 'effects', 'through', 'practices', 'theatre', 'events', 'idea']"
scratch,"['scratch', 'scratching']","['living', 'figs', 'researchers', 'heads', 'furniture', 'countertops']"
send,"['send', 'sending']","['blessings', 'one', 'force', 'issue', 'army', 'food', 'jobs']"
dislike,"['dislike', 'disliked']","['bond', 'leftists', 'idea', 'things', 'criticism', 'whom', 'cats', 'smell']"
retire,"['retire', 'retired']","['chapter', 'portion', 'debt', 'adversary', 'apologist', 'week', 'return', 'grandfather', 'year', 'm', 'mother', 'men']"
torture,"['torture', 'torturing']","['u', 'muslims', 'minority']"
wipe,"['wipe', 'wipes', 'wiped']","['face', 'brows', 'slate', 'restrictions', 'deficiency', 'race', 'grin', 'bombers', 'cities', 'blues', 'coffee', 'cover', 'tear', 'eyes', 'left', 'truths', 'forehead', 'people', 'savings', 'plate']"
harbor,"['harbor', 'harboring']","['doubts', 'nothing', 'frustrations', 'ghosts']"
marry,"['marry', 'marrying']","['men', 'woman', 'women', 'anyone', 'person', 'technology', 'brother', 'daughters', 'daughter', 'people', '%', 'couples', 'someone', 'sense', 'belieber', 'chap', 'children', 'stage']"
try,"['try', 'trying']","['practice', 'workshop', 'chicken', 'banana', 'money', 'kiss', 'wash', 'approach', 'classic', 'something', 'step', 'yuvraj', 'followers', 'people', 'conditions', 'committee', 'lot', 'puppy', 'number', 'government', 'question', 'scientists', 'group', 'things', 'country', 'luck', 'authorities', 'grid', 'business', 'zombies', 'guy', 'valiantly', 'retailer', 'times', 'friend', 'mal', 'proletariat', 'companies', 'microeconomists', 'nas', 'youths', 'one', 'fact', 'everything', 'nature', 'imagination', 'year', 'salon', 'time', 'everyone', 'ctv', 'neighbour', 'college', 'thing', 'brain']"
race,"['race', 'racing']","['chopper', 'children', 'year', 'bob', 'beats', 'jets', 'motocycle', 'weekend', 'skies']"
rack,"['rack', 'racking']","['points', 'side', 'number', 'effects', 'day', 'mudguards', 'form', 'group', 'recognition', 'brains']"
pledge,"['pledge', 'pledging']","['allegiance', 'loyalty']"
imply,"['imply', 'implying']","['inclusion', 'endorsement', 'suggestion', 'reclaim', 'origin', 'relationship', 'arrogance', 'population', 'claims', 'publication', 'treasure', 'jewelresorts', 'numbers', 'practices']"
index,"['index', 'indexing']","['amount', 'everything', 'terabytes', 'amounts']"
punch,"['punch', 'punching']","['americas', 'mod', 'holes', 'patterns', 'gut', 'herd', '4th']"
let,"['let', 'lets']","['a', 'love', 'amplitudes', 'time', 'bash', 'sing', 'deal', 'atms', 'innuendo', 'unsafewindow', 'oblige', 'network', 'government', 'face', 'performance', 'share', 'prosecutor', 'guard', 'answer', 'homie', 'consumers']"
engage,"['engage', 'engages', 'engaging']","['everyone', 'doctors', 'interviewer', 'vendors', 'voters', 'students', 'secret', 'example', 'emotions', 'people', 'today', 'visitors', 'notice', 'someone', 'book', 'audience', 'employees', 'governments', 'senses', 'salespeople', 'drive', 'help', 'neighbours', 'institutions', 'council', 'youths', 'occupations', 'sinner', 'event', 'communities', 'children', 'users', 'stakeholders', 'person', 'story', 'audiences']"
receive,"['receive', 'receives', 'receiving']","['none', 'salvation', 'allotment', 'reward', 'wood', 'letter', 'campaign', 'impetus', 'information', 'monks', 'remuneration', 'gifts', 'offerings', 'areas', 'rain', 'sms', 'student', 'discount', 'warrants', 'conjunction', 'journalists', 'text', 'customers', 'compensation', 'holders', 'stockholders', 'dividends', 'code', 'alert', 'voucher', 'percent', 'scrutiny', 'access', 'violations', 'attention', 'money', 'calls', 'parties', 'copy', 'payments', 'season', 'petition', 'land', 'version', 'group', 'drug', 'shalt', 'service', 'permission', 'level', 'cleansing', 'mod', 'message', 'toxoid', 'dose', 'females', 'up', 'worth', 'capacity', 'antenna', 'wavelength', 'signal', 'confirmation', 'minorities', 'messages', 'education', 'people', 'treatment', 'year', 'waiver', 'winner', 'book', 'winners', 'skirt', 'view', 'years', 'email', 'something', 'pensions', 'entitlements', 'summons', 'updates', 'newsletter', 'gasoline', 'citizens', 'allowances', 'houses', 'traffic', 'groups', 'assistance', 'document', 'response', 'contract', 'expense', 'update', 'grade', 'pleasure', 'happiness', 'newsletters', 'foundation', 'fronds', 'light', 'counseling', 'women', 'counselling', 'lot', 'visitor', 'answer', 'views', 'feedback', 'impact', 'implantees', 'implant', 'actions', 'shareholders', 'notes', 'credit', 'package', 'employees', 'purchasing', 'registration', 'fellowship', 'measure', 'plots', 'clearance', 'samples', 'praise', 'thanks', 'testimony', 'subsidies', 'households', 'healthcare', 'families', 'mails', 'crown', 'mercy', 'day', 'preference', 'guide', 'singers', 'training', 'box', 'minority', 'care', 'coverage', 'days', 'heads', 'help', 'prescription', 'internship', 'servers', 'sample', 'slip', 'time', 'benefits', 'results', 'plagues', 'returns', 'body', 'finance', 'comfort', 'host', 'tools', 'data', 'purchaser', 'right', 'amount', 'applicant', 'tips', 'visits', 'reactions', 'millions', 'anyone', 'anything', 'mob', 'lead', 'society', 'patient', 'outcome', 'ring', 'dog', 'forgiveness', 'score', 'morning', 'twitter', 'farmer', '%', 'process', 'approval', 'inhibitor', 'guests', 'allowance', 'brokerage', 'aid', 'offers', 'card', 'pay', 'support', 'j', 'words', 'blessings', 'person', 'treatments', 'implants', 'needles', 'compliments', 'ect', 'news', 'django', 'children', 'mail', 'emails', 'hell', 'abuses', 'services']"
defeat,"['defeat', 'defeated']","['forces', 'ieds', 'purpose', 'host', 'zombies', 'insurgencies', 'army', '""goauld""', 'powers', 'militarism', 'demons', 'agenda', 'weapon', 'votes', 'candidate', 'side', 'month']"
disobey,"['disobey', 'disobeyed']","['truth', 'orders', 'parents', 'atom', 'law', 'commands', 'companions', 'order', 'oracle']"
throw,"['throw', 'throws']","['support', 'processor', 'notions', 'buggies', 'arms', 'collectors', 'party', 'food', 'load', 'light', 'site', 'show', 'performance', 'challenge', 'bombs', 'cards', 'flask', 'figure', 'objects', 'attorney', 'man', 'fire']"
doubt,"['doubt', 'doubting']","['extremists', 'authenticity', 'critics', 'one', 'ends', 'umpire', 'doesn', 'existence', 'time', 'sincerity', 'power', 'today', 'unionist', 'sprite', 'accuracy', 'number']"
confiscate,"['confiscate', 'confiscating']","['assets', 'property', 'income']"
entangle,"['entangle', 'entangled']","['brand', 'limbs']"
challenge,"['challenge', 'challenged']","['faculties', 'beliefs', 'people', 'government', 'merchants', 'bachelors', 'imagination', 'outlets', 'system', 'today', 'makers', 'community', 'cat', 'thinking', 'users', 'militants', 'apologia', 'strategy', 'u', 'charter', 'assumptions', 'results', 'thing', 'independence', 'law', 'powers', 'corruption']"
pour,"['pour', 'pours']","['whites', 'glugs', 'beans', 'pinches', 'syrop', 'estimate', 'rain']"
reproduce,"['reproduce', 'reproduces', 'reproducing']","['organisms', 'splitting', 'individuals', 'retransmit', 'shakespear', 'someone', 'book', 'months', 'cameras', 'smidge', 'store', 'problem', 'features', 'images', 'content', 'quran']"
drill,"['drill', 'drilled']","['exploration', 'total', 'instinct', 'discipline', 'wells', 'm', 'kilometres']"
fulfill,"['fulfill', 'fulfilling']","['obligation', 'rights', 'needs', 'obligations', 'duty', 'parents', 'need', 'purpose', 'potential', 'requirements', 'mission', 'mandate', 'exercises', 'desire', 'self', 'promise', 'action', 'missions', 'duties', 'pledge', 'work', 'contract']"
scatter,"['scatter', 'scattered']","['types', 'light', 'sites', 'bits']"
slid,"['slid', 'sliding']","['%', 'hand']"
process,"['process', 'processed']","['system', 'body', 'protein', 'case', 'interval', 'hundreds', 'chunks', 'buckets', 'people', 'agents', 'slice', 'companies', 'applications', 'documents', 'visitors', 'average', 'data', 'stri', 'file', 'location', 'player', 'read', 'today', 'application', 'tons', 'remainder', 'string']"
lock,"['lock', 'locking']","['rack', 'horns', 'gate']"
bend,"['bend', 'bending']","['stretch', 'coathangar', 'crevasse', 'curve', 'twist', 'bird', 'mind', 'head', 'reality', 'string', 'notes']"
slip,"['slip', 'slips']","['majority', 'eg', 'burkas', 'mint', 'beliefs', 'things', 'couple', 'standards', 'movie']"
weaken,"['weaken', 'weakening']","['fall', 'ability', 'country', 'weight', 'influence', 'position', 'power', 'peoples', 'policies', 'presence', 'join', 'morale', 'effort', 'intention', 'leadership', 'loss']"
delay,"['delay', 'delays']","['fear', 'ipo', 'reforms', 'guards', 'onset', 'kind', 'learning']"
stand,"['stand', 'stands']","['elements', 'bear', 'lies', 'chance', 'food', 'castles', 'pillars', 'today', 'hypotension', 'spectrum', 'people', 'party', 'captain', 'fans', 'site', 'abuse', 'lie', 'shalt', 'things', 'value', 'mixer', 'hours', 'side', 'sciences', 'examples', 'forecast', 'competition', 'concessions', 'man', 'comparison', 'governments', 'deck', 'truth', 'meaning', 'others', 'crates', 'meters', 'activities', 'thing', 'shot', 'nothing', 'heat', 'publicy', 'face', 'serpents', 'guard', 'scrutiny', 'point', 'nation', 'play', 'kneel', 'men', 'one', 'courage', 'findings', 'kitchens', 'day', 'text', 'expression', 'person', 'tree', 'exposure', 'yield', 'translation', 'way', 'statue', 'role', 'taxpayer', 'balloon', 'pieces', 'symbol', 'e', 'hair', 'millennium', 'song', 'movement', 'moment', 'lettuce', 'policy', 'summit', 'monument', 'memorial', 'house', 'camel', 'cycle', 'book', 'matter']"
await,"['await', 'awaits']","['dangers', 'twins', 'wasallam', 'fast', 'investigation', 'grace', 'trial', 'items', 'arrival', 'end', 'atcs', 'bride', 'day', 'righteous', 'fate', 'enemies', 'visitors']"
hawk,"['hawk', 'hawking']","['books', 'book', 'people']"
counter,"['counter', 'countering']","['danger', 'strategy', 'appetites', 'criticism', 'flood', 'ad', 'pressure', 'ideas', 'propaganda', 'notion']"
allow,"['allow', 'allowing']","['condition', 'bottle', 'beer', 'assets', 'criticism', 'opportunity', 'system', 'owners', 'wonders', 'offer', 'travel', 'evolution', 'emergence', 'option', 'rooting', 'thing', 'shirts', 'westerlies', 'capital', 'total', 'hostel', 'facility', 'access']"
presuppose,"['presuppose', 'presupposes']","['existence', 'supremacism', 'acceptance', 'ground']"
move,"['move', 'moves', 'moving']","['mouse', 'colombo', 'locks', 'character', 'direction', 'list', 'energy', 'pig', 'pattern', 'chair', 'field', 'ship', 'egg', 'line', 'music', 'time', 'government', 'technology', 'curve', 'everything', 'world', 'season', 'country', 'politics', 'stiffness']"
perfect,"['perfect', 'perfected']","['skills', 'membership', 'taste', 'art']"
earn,"['earn', 'earned']","['amount', 'victory', 'reverence', 'degree', 'figures', 'brands', 'sites', 'fees', 'keep', 'living', 'money', 'bonus', 'commission', 'film', 'lot', 'rates', 'quarter', 'reputation', 'trust', 'income', 'investments', 'return', 'wage', 'members', 'points', 'bread', 'medal', 'quicker', 'right', 'respect', 'benefits', 'b', 'redeem', 'people', 'journalists', 'salaries', 'half', 'star', 'achievements', 'designers', 'loads', 'student', 'hands', 'award', 'work', 'place', 'tag', 'kobo', 'savings', 'rate', 'total', 'fame', 'crore', 'players', 'caps', 'warnings', 'deal', 'certificate', 'gratitude', 'night', 'title', 'tactics', 'nickname', 'pounds', 'praise', 'constituency']"
kiss,"['kiss', 'kissed']","['girl', 'backside', 'times', 'whom', 'woman', 'goodnight', 'guys', 'way', 'goodbye', 'bye', 'week', 'director', 'lips', 'hast', 'ground', 'hands', 'mother', 'clave', 'boy', 'feet', 'wife']"
bar,"['bar', 'bars']","['menu', 'patents']"
garner,"['garner', 'garnered']","['absence', 'time', 'game', 'votes', 'reviews', 'lots']"
realize,"['realize', 'realizes', 'realizing']","['anyone', 'hobbits', 'responsibility', 'milyar', 'world', 'thing', 'day', 'countries', 'farce', 'material', 'people', 'kind', 'comments', 'feed', 'enemies', 'weakness', 'impact', 'media', 'wrong', 'lot', 'economies', 'size', 'return', 'vision', 'niggers', 'kids', 'business', 'savings', 'necessity', 'benefits', 'fears', 'hopes', 'agenda', 'dreams', 'difference', 'part']"
merge,"['merge', 'merging']","['education', 'design', 'galaxies']"
follow,"['follow', 'followed']","['bershisha', 'religion', 'book', 'desires', 'captivity', 'dropping', 'practices', 'matter', 'judgment', 'school', 'commands', 'books', 'rulers', 'action', 'texts', 'truth', 'outside', 'mouse', 'cursor', 'path', 'aliens', 'ats', 'pause', 'order', 'notations', 'way', 'advice', 'leadership', 'practice', 'suffering', 'training', 'manner', 'collapse', 'others', 'collections', 'histories', 'stars', 'individuals', 'guidelines', 'pattern', 'paths', 'method', 'trajectory', 'states', 'recommendation', 'spirit', 'rule', 'competition', 'cameras', 'bier', 'lead', 'franks', 'game', 'instructions', 'suit', 'conversation', 'everything', 'processes', 'recipe', 'number', 'teams', 'antics', 'logic', 'constitution', 'principle', 'work', 'people', 'news', 'line', 'rules', 'deterioration', 'governments', 'anyone', 'policy', 'customs', 'evolution', 'region', 'events', 'atrocity', 'steps', 'crime', 'fans', 'streaming', 'span', 'footsteps', 'blob', 'urls', 'abnf', 'silence', 'businesses', 'strategy', 'flee', 'links', 'hospitals', 'procedures', 'rest', 'boxes', 'motto', 'forests', 'rim', 'blog', 'tweet', 'one', 'details', 'voice', 'reporters', 'monsters', 'process', 'person', 'signs', 'thoughts', 'hyperinflation', 'changes', 'assumption', 'body', 'officials', 'example', 'trends', 'actions', 'dreams', 'ideas', 'tutorials', 'model', 'husband', 'manager', 'match', 'thing', 'measures', 'package', 'faith', 'modifier', 'flag', 'course', 'law', 'principles', 'companions', 'innovation', 'sunna', 'civilization', 'centuries', 'procedure', 'guru', 'fancy', 'calculations', 'array', 'attempt', 'doubt', 'man', 'filmmakers', 'begetting', 'loss', 'address', 'placing', 'men', 'philosophy', 'respects', 'pair', 'matters', 'treatment', 'ranks', 'case', 'advise', 'camera', 'sound', 'raids', 'draw', 'month', 'sets', 'announcement', 'days', 'caveat', 'noses', 'opinion', 'route', 'counterparts', 'women', 'posts', 'debate', 'government', 'interview', 'hours', 'warmth', 'heroes', 'justification', 'treaties', 'war', 'woman']"
wander,"['wander', 'wanders']","['mind', 'writings', 'chickens', 'player']"
witness,"['witness', 'witnessing']","['ceremony', 'pace', 'demand', 'work', 'history', 'accomplishments', 'signatures', 'signature', 'treatments', 'process', 'handiwork', 'transformation', 'conditions']"
perish,"['perish', 'perished']","['idea', 'relatives']"
shun,"['shun', 'shuns']","['infidels', 'sponsors', 'markets', 'government', 'society']"
spill,"['spill', 'spilled']","['lesson', 'spoil', 'beans', 'blood', 'beer', 'ink', 'coffee', 'minutes']"
scare,"['scare', 'scares', 'scaring']","['boycotts', 'shit', 'investment', 'changes', 'supporters', 'voters', 'choices', 'underclassmen', 'thing', 'cities']"
discourage,"['discourage', 'discourages', 'discouraging']","['growth', 'animals', 'scratching', 'use', 'film', 'homebuyers', 'students', 'lack', 'entrepreneurs', 'organisations']"
